Name,IGDB_Name,Aggregated_Rating,Age_Ratings_IDs
Call of Duty: Advanced Warfare,Call of Duty: Advanced Warfare,80.2,"[189865, 34395, 69662]"
The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time,91.87477285653057,"[81440, 50830, 50831, 8691, 3894]"
Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot 2: Cortex Strikes Back,83.359501464074,"[7928, 89719]"
Super Mario Bros. 2,Super Mario Bros. 2,76.67197883728284,"[82656, 47144, 25, 27708, 81437]"
Super Smash Bros. for Wii U and 3DS,,,
Call of Duty: World at War,Call of Duty: World at War,80.0,"[5332, 92540, 189799]"
Battlefield 3,Battlefield 3,85.0,"[117351, 67914, 109291, 109292, 190928, 93499]"
The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess,97.5,"[47176, 56939, 56940, 56941, 34450, 27959]"
Call of Duty: Black Ops 3,Call of Duty: Black Ops III,68.69370348791016,"[169816, 169817]"
Just Dance,,,
Battlefield 3,Battlefield 3,85.0,"[117351, 67914, 109291, 109292, 190928, 93499]"
Need for Speed Underground,Need for Speed: Underground,65.04398862616989,"[175245, 175246]"
Tekken 3,Tekken 3,73.4256396577142,"[178198, 178199]"
Crash Bandicoot 3: Warped,Crash Bandicoot: Warped,83.63850447939535,"[89721, 8710]"
Super Smash Bros. Melee,Super Smash Bros. Melee,100.0,"[62409, 49130, 62410, 62411, 62412, 188015, 48850]"
Mario Kart 8,Mario Kart 8,90.8,"[47120, 98452, 98453, 93590, 98454, 190975]"
Fallout 4,Fallout 4,84.66666666666667,"[173121, 96516, 67365, 188039, 62993, 62995, 21367]"
Mario Kart: Double Dash!!,Mario Kart: Double Dash!!,85.0,"[62464, 62465, 49128, 59612, 62463]"
Just Dance 4,Just Dance 4,72.5,"[188265, 7339, 182837]"
FIFA 14,FIFA 14,81.64285714285714,"[13289, 188810, 69947]"
Need for Speed Underground 2,Need for Speed: Underground 2,,[]
Medal of Honor: Frontline,Medal of Honor: Frontline,93.33333333333333,"[78553, 282, 36507]"
Uncharted 3: Drake's Deception,Uncharted 3: Drake's Deception,93.25,"[188736, 131939, 131940, 131941, 131942, 131943, 13322]"
Crash Bandicoot,Crash Bandicoot,75.0,"[211168, 211169, 7927, 30269, 211167]"
Zumba Fitness,Zumba Fitness,45.0,[48337]
Gears of War 2,Gears of War 2,90.4,"[108138, 34780, 81208, 1212, 167998, 125438, 91743]"
Uncharted 2: Among Thieves,Uncharted 2: Among Thieves,95.375,"[131936, 131937, 131938, 88748, 189294, 131935]"
Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare,57.30015927247217,[63760]
FIFA 12,FIFA Soccer 12,83.81818181818181,"[880, 138017, 138018, 69948]"
